Dist Code,Year,State Code,State Name,Dist Name,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL PER HA OF GCA (Kg per ha)
532,2016,12,Uttar Pradesh,Sidharthnagar,35458.0,68.01,155.33,92.03,13727.0,26.33,60.13,35.63,0.0,5.66,12.93,7.66,52136.0,228.39,135.31
532,2017,12,Uttar Pradesh,Sidharthnagar,36893.0,67.02,161.62,96.35,13277.0,24.12,58.16,34.68,0.0,8.87,21.38,12.75,55051.0,241.16,143.78
533,2016,12,Uttar Pradesh,Mahoba,33885.0,67.51,158.47,120.81,13581.0,27.06,63.51,48.42,0.0,5.43,12.74,9.72,50191.0,234.72,178.95
533,2017,12,Uttar Pradesh,Mahoba,8309.0,54.18,40.21,30.7,6256.0,40.79,30.27,23.12,0.0,5.03,3.74,2.85,15337.0,74.22,56.67
536,2016,10,Rajasthan,Baran,52304.0,71.48,150.31,78.86,20236.0,27.66,58.15,30.51,0.0,0.86,1.81,0.95,73169.0,210.26,110.31
536,2017,10,Rajasthan,Baran,38587.0,69.73,111.66,59.64,16439.0,29.7,47.57,25.41,0.0,0.57,0.91,0.49,55341.0,160.13,85.53
537,2016,10,Rajasthan,Dausa,25975.0,79.44,114.01,68.83,6439.0,19.69,28.26,17.06,0.0,0.87,1.25,0.75,32698.0,143.52,86.64
537,2017,10,Rajasthan,Dausa,23609.0,78.04,106.49,68.04,6324.0,20.9,28.52,18.22,0.0,1.06,1.45,0.93,30254.0,136.46,87.19
538,2016,10,Rajasthan,Rajsamand,7518.0,68.76,78.21,52.97,3352.0,30.66,34.87,23.62,0.0,0.59,0.67,0.45,10934.0,113.74,77.04
538,2017,10,Rajasthan,Rajsamand,6596.0,81.4,68.59,46.58,1404.0,17.33,14.6,9.91,0.0,1.27,1.07,0.73,8103.0,84.26,57.22
539,2016,10,Rajasthan,Hanumangarh,44189.0,72.44,52.35,34.21,16304.0,26.73,19.32,12.62,0.0,0.83,0.6,0.39,60999.0,72.27,47.23
539,2017,10,Rajasthan,Hanumangarh,62017.0,70.88,73.85,49.11,23776.0,27.17,28.31,18.83,0.0,1.95,2.03,1.35,87498.0,104.19,69.29
542,2016,11,Tamil Nadu,Nagapattinam,18007.0,67.75,120.73,73.68,5512.0,20.74,36.96,22.55,0.0,11.51,20.5,12.51,26577.0,178.19,108.74
542,2017,11,Tamil Nadu,Nagapattinam,17673.0,65.36,119.62,68.53,5094.0,18.84,34.48,19.75,0.0,15.8,28.92,16.57,27040.0,183.03,104.86
543,2016,11,Tamil Nadu,Villupuram,46698.0,61.52,151.45,121.15,16887.0,22.25,54.77,43.81,0.0,16.23,39.97,31.97,75908.0,246.18,196.94
543,2017,11,Tamil Nadu,Villupuram,51840.0,60.59,151.88,112.03,18337.0,21.43,53.72,39.63,0.0,17.98,45.07,33.24,85560.0,250.68,184.9
545,2016,9,Punjab,Mansa,57248.0,82.84,303.24,156.67,8661.0,12.53,45.88,23.7,0.0,4.62,16.92,8.74,69103.0,366.04,189.11
545,2017,9,Punjab,Mansa,53396.0,85.71,289.46,145.99,5117.0,8.21,27.74,13.99,0.0,6.07,20.5,10.34,62295.0,337.7,170.32
546,2016,9,Punjab,Fatehgarh Sahib,35526.0,70.52,348.2,185.9,12863.0,25.53,126.07,67.31,0.0,3.95,19.5,10.41,50379.0,493.78,263.62
546,2017,9,Punjab,Fatehgarh Sahib,31675.0,72.68,310.45,170.09,9319.0,21.38,91.34,50.04,0.0,5.94,25.38,13.9,43583.0,427.17,234.03
547,2016,12,Uttar Pradesh,Kanpur Nagar,27536.0,67.61,144.03,104.39,10961.0,26.91,57.33,41.55,0.0,5.48,11.66,8.45,40727.0,213.03,154.4
547,2017,12,Uttar Pradesh,Kanpur Nagar,77732.0,71.2,407.02,295.02,27495.0,25.18,143.97,104.35,0.0,3.62,20.7,15.0,109180.0,571.69,414.38
548,2016,12,Uttar Pradesh,Kanpur Dehat,31202.0,67.62,143.07,95.6,12414.0,26.9,56.92,38.04,0.0,5.48,11.59,7.75,46144.0,211.58,141.39
548,2017,12,Uttar Pradesh,Kanpur Dehat,96917.0,81.91,443.53,307.1,17635.0,14.9,80.7,55.88,0.0,3.18,17.24,11.94,118319.0,541.47,374.91
549,2016,5,Karnataka,Bangalore(Rural),9820.0,50.99,94.15,91.29,7757.0,40.28,74.37,72.12,0.0,8.74,16.14,15.65,19260.0,184.66,179.06
549,2017,5,Karnataka,Bangalore(Rural),10231.0,52.79,101.84,99.05,7235.0,37.33,72.02,70.04,0.0,9.87,19.04,18.52,19379.0,192.91,187.62
550,2016,5,Karnataka,Bangalore(Urban),13520.0,58.0,392.74,363.7,7415.0,31.81,215.4,199.47,0.0,10.19,69.02,63.92,23311.0,677.15,627.08
550,2017,5,Karnataka,Bangalore(Urban),13522.0,58.53,408.69,372.76,6878.0,29.77,207.88,189.61,0.0,11.69,81.64,74.46,23101.0,698.21,636.83
601,2016,17,Assam,Cachar,6524.0,66.47,46.5,33.8,1598.0,16.28,11.39,8.28,0.0,17.25,12.07,8.77,9815.0,69.96,50.85
601,2017,17,Assam,Cachar,6663.0,62.24,52.41,34.5,2129.0,19.89,16.75,11.02,0.0,17.87,15.05,9.9,10705.0,84.21,55.42
