Dist Code,Year,State Code,State Name,Dist Name,TOTAL AREA (1000 ha),FOREST AREA (1000 ha),BARREN AND UNCULTIVABLE LAND AREA (1000 ha),LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),CULTIVABLE WASTE LAND AREA (1000 ha),PERMANENT PASTURES AREA (1000 ha),OTHER FALLOW AREA (1000 ha),CURRENT FALLOW AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent)
913,2016,15,Jharkhand,Hazaribagh,431.32,203.67,19.73,24.35,7.57,4.66,57.09,57.36,52.26,62.58,119.75
913,2017,15,Jharkhand,Hazaribagh,431.31,203.67,19.55,24.27,7.57,4.67,59.98,52.87,53.94,64.04,118.72
914,2016,15,Jharkhand,Dhanbad,204.16,18.93,31.1,48.16,11.38,0.48,50.26,33.43,8.28,11.52,139.13
914,2017,15,Jharkhand,Dhanbad,204.16,18.93,29.12,48.41,14.26,5.91,43.16,30.25,10.13,12.54,123.86
915,2016,15,Jharkhand,Palamau,460.43,169.82,25.6,23.15,7.79,3.15,0.0,89.59,141.33,180.09,127.43
915,2017,15,Jharkhand,Palamau,460.43,169.82,25.6,27.75,7.79,3.17,11.41,89.3,124.31,150.13,120.77
916,2016,15,Jharkhand,Ranchi,497.31,99.58,26.28,31.37,28.72,1.37,6.61,100.92,199.05,252.45,126.83
916,2017,15,Jharkhand,Ranchi,497.31,99.58,25.77,32.05,28.09,1.37,92.21,99.86,115.05,265.07,230.39
918,2016,2,Bihar,Nalanda,232.73,4.64,1.16,45.49,0.19,0.0,0.13,0.3,179.52,258.46,143.97
918,2017,2,Bihar,Nalanda,232.73,4.64,1.16,45.42,0.19,0.0,0.12,6.26,173.64,252.2,145.24
919,2016,2,Bihar,Nawada,248.73,63.78,11.24,35.79,1.09,0.86,2.62,12.35,120.3,137.93,114.66
919,2017,2,Bihar,Nawada,248.73,63.78,11.24,35.71,1.09,0.85,2.61,12.85,119.88,137.37,114.59
920,2016,2,Bihar,Aurangabad,330.01,18.76,16.41,59.67,1.8,0.54,1.12,25.71,205.34,287.06,139.8
920,2017,2,Bihar,Aurangabad,330.01,18.76,16.41,59.68,1.8,0.54,1.11,25.42,205.62,287.35,139.75
921,2016,2,Bihar,Bhojpur,237.34,100.86084437890429,6.7,34.68,0.59,0.06,2.35,19.53,171.36,182.72,106.63
921,2017,2,Bihar,Bhojpur,237.34,0.0,6.7,34.69,0.59,0.06,2.34,4.53,186.36,199.26,106.92
922,2016,2,Bihar,Rohtas,390.72,66.72,16.83,53.98,1.08,0.09,0.7,1.38,247.02,352.68,142.77
922,2017,2,Bihar,Rohtas,390.72,66.72,16.83,53.99,1.08,0.09,0.69,3.28,245.1,349.79,142.71
923,2016,2,Bihar,Siwan,224.41,4.8454360821091935,8.74,33.31,0.68,0.15,1.41,9.22,161.95,224.17,138.42
923,2017,2,Bihar,Siwan,224.41,0.0,8.74,33.3,0.68,0.15,1.41,6.82,164.35,226.07,137.55
924,2016,2,Bihar,Gopalganj,203.77,3.1933010058210307,5.52,33.87,1.38,0.19,2.32,13.73,139.28,207.21,148.77
924,2017,2,Bihar,Gopalganj,203.77,0.0,5.52,33.86,1.38,0.19,2.32,13.55,139.48,207.39,148.69
925,2016,2,Bihar,Champaran(East),431.72,0.12,8.08,76.91,0.24,0.42,2.93,33.15,282.69,412.05,145.76
925,2017,2,Bihar,Champaran(East),431.72,0.12,8.08,76.93,0.24,0.42,2.92,32.35,283.47,412.85,145.64
926,2016,2,Bihar,Champaran(West),484.35,91.75,2.92,95.19,1.22,1.12,2.2,35.6,247.86,399.85,161.32
926,2017,2,Bihar,Champaran(West),484.35,91.75,2.92,95.21,1.22,1.12,2.19,41.61,241.84,391.15,161.74
927,2016,2,Bihar,Vaishali,201.45,11.385894302658642,24.1,38.33,0.13,0.32,0.26,7.66,120.85,177.67,147.02
927,2017,2,Bihar,Vaishali,201.45,0.0,24.1,38.26,0.13,0.32,0.26,4.68,123.91,181.48,146.46
928,2016,2,Bihar,Sitamarhi,221.89,19.6741734866931,1.75,63.68,0.11,1.34,0.47,14.07,126.51,231.46,182.96
928,2017,2,Bihar,Sitamarhi,221.89,0.0,1.75,63.68,0.11,1.34,0.47,12.95,127.62,232.78,182.4
929,2016,2,Bihar,Madhubani,353.5,38.1937898577526,2.24,86.94,0.49,1.26,2.89,2.52,233.22,341.92,146.61
929,2017,2,Bihar,Madhubani,353.5,0.0,2.24,86.92,0.49,1.26,2.89,3.16,232.6,340.09,146.21
930,2016,2,Bihar,Samastipur,262.39,31.604977851179292,3.81,63.74,20.230338993740848,0.06,0.89,26.12,159.47,286.36,179.57
930,2017,2,Bihar,Samastipur,262.39,0.0,3.81,63.73,0.0,0.06,0.88,9.87,175.73,307.83,175.17
931,2016,2,Bihar,Begusarai,187.83,5.918322881853129,17.96,41.89,0.04,0.01,0.8,10.2,113.12,168.77,149.2
931,2017,2,Bihar,Begusarai,187.83,0.0,17.96,41.89,0.03,0.01,0.8,15.74,107.59,157.71,146.58
932,2016,2,Bihar,Katihar,291.35,1.79,22.11,58.46,0.63,0.12,5.88,7.23,184.01,267.99,145.64
932,2017,2,Bihar,Katihar,291.35,1.79,22.11,58.48,0.62,0.12,5.88,57.19,134.03,201.32,150.21
933,2016,15,Jharkhand,Giridih,493.25,158.53,39.54,33.88,21.32,14.23,53.38,121.63,41.0,143.46,349.9
933,2017,15,Jharkhand,Giridih,493.25,158.53,39.53,33.88,21.32,14.23,53.38,71.63,91.0,132.44,145.54
934,2016,2,Bihar,Jehanabad,94.04,0.64,3.27,15.26,0.14,0.08,0.2,31.07,42.66,78.91,184.97
934,2017,2,Bihar,Jehanabad,94.04,0.64,3.27,15.27,0.13,0.07,0.2,32.02,41.71,77.32,185.38
935,2016,2,Bihar,Madhepura,179.59,27.973974543003308,3.92,31.89,20.230338993740848,0.04,0.99,12.39,123.19,181.75,147.54
935,2017,2,Bihar,Madhepura,179.59,0.0,3.92,31.9,0.0,0.04,0.98,8.4,127.18,187.92,147.76
936,2016,2,Bihar,Khagaria,149.34,4.29155643086734,13.59,31.2,0.61,0.21,2.15,3.88,94.59,135.14,142.87
936,2017,2,Bihar,Khagaria,149.34,0.0,13.59,31.2,0.61,0.21,2.15,9.92,88.56,126.23,142.54
937,2016,15,Jharkhand,Godda,231.84,23.67,24.33,3.74,1.67,1.16,50.03,53.63,72.31,85.9,118.79
937,2017,15,Jharkhand,Godda,231.84,23.67,17.61,24.67,9.17,6.26,22.74,69.0,50.27,60.62,120.57
938,2016,15,Jharkhand,Sahebganj,198.78,28.32,11.31,19.69,6.57,0.46,36.57,44.7,48.1,48.62,101.08
938,2017,15,Jharkhand,Sahebganj,198.78,28.32,21.5,15.82,5.06,2.62,44.91,43.05,35.16,42.37,120.52
940,2016,15,Jharkhand,Devghar Deogarh,243.7,19.4,15.35,20.83,19.46,10.54,48.42,59.72,47.72,48.24,101.09
940,2017,15,Jharkhand,Devghar Deogarh,243.69,19.4,15.41,21.24,19.42,10.28,58.48,46.65,48.82,52.76,108.06
941,2016,15,Jharkhand,Lohardagga,153.62,44.36,10.94,14.18,7.96,0.03,17.57,17.52,36.88,50.9,138.02
941,2017,15,Jharkhand,Lohardagga,153.62,44.35,10.97,16.3,9.65,0.03,18.43,21.53,27.81,48.32,173.75
942,2016,15,Jharkhand,Gumla,534.32,135.34,36.28,24.42,31.67,2.06,78.53,88.75,131.21,288.19,219.64
942,2017,15,Jharkhand,Gumla,534.32,135.34,37.04,26.6,30.93,3.78,54.11,50.2,182.07,258.95,142.23
943,2016,15,Jharkhand,Singhbhum East,556.7,124.85,49.07,142.81,40.35,2.74,45.07,85.48,61.09,62.37,102.1
943,2017,15,Jharkhand,Singhbhum East,556.7,124.85,50.45,144.58,45.57,3.19,32.63,59.12,88.47,100.04,113.07
944,2016,15,Jharkhand,Singhbhum West,567.77,142.34,56.83,47.61,38.22,6.81,82.69,98.08,86.03,117.55,136.64
944,2017,15,Jharkhand,Singhbhum West,567.77,142.34,56.83,47.61,38.22,6.86,83.38,98.05,85.03,132.26,155.54
945,2016,2,Bihar,Araria,271.71,0.84,5.01,52.86,0.54,0.21,3.46,73.21,116.43,238.0,204.41
945,2017,2,Bihar,Araria,271.71,0.84,5.01,52.87,0.54,0.21,3.45,51.19,138.44,264.88,191.33
946,2016,2,Bihar,Kishanganj,189.08,0.35,11.2,35.9,1.16,0.4,2.99,30.89,100.96,143.11,141.75
946,2017,2,Bihar,Kishanganj,189.08,0.35,11.2,35.9,1.16,0.4,2.99,30.14,101.7,143.86,141.46
947,2016,2,Bihar,Buxar,167.0,100.86084437890429,2.18,17.54,0.64,0.02,0.56,0.57,144.72,203.02,140.28
947,2017,2,Bihar,Buxar,167.0,0.0,2.18,17.55,0.61,0.02,0.56,3.57,141.73,198.6,140.13
948,2016,2,Bihar,Bhabhua Kaimur,342.45,113.04,19.26,35.16,1.85,0.12,0.09,24.49,147.68,219.52,148.65
948,2017,2,Bihar,Bhabhua Kaimur,342.45,113.04,19.26,35.26,1.84,0.12,0.09,34.59,137.49,202.92,147.59
949,2016,2,Bihar,Banka,305.62,46.31,42.96,42.9,7.88,1.05,11.13,22.71,123.22,160.16,129.98
949,2017,2,Bihar,Banka,305.62,46.31,42.96,42.87,7.88,1.05,11.13,25.61,120.36,154.63,128.47
950,2016,2,Bihar,Jamui,305.29,92.86,28.57,44.56,10.28,1.64,15.98,33.55,75.72,141.95,187.47
950,2017,2,Bihar,Jamui,305.29,92.86,28.57,44.55,10.28,1.64,15.98,38.54,70.74,126.17,178.36
951,2016,2,Bihar,Supaul,238.6,17.2222708252034,20.23,52.1,1.43,0.24,9.41,4.78,147.29,243.27,165.16
951,2017,2,Bihar,Supaul,238.6,0.0,20.23,52.1,1.43,0.24,9.41,1.72,150.35,252.29,167.8
952,2016,15,Jharkhand,Chatra,382.05,216.91,18.27,14.52,4.57,1.13,44.03,48.67,32.06,39.17,122.18
952,2017,15,Jharkhand,Chatra,382.05,216.91,21.5,15.82,5.06,2.62,45.91,43.05,28.83,34.68,120.3
953,2016,15,Jharkhand,Bokaro,288.99,74.18,37.22,31.46,11.25,4.86,50.68,44.8,29.39,41.19,140.15
953,2017,15,Jharkhand,Bokaro,288.99,74.18,36.33,31.75,10.12,4.86,51.29,47.81,27.31,34.23,125.38
